,urls,status_code,tinken_title,tinken_model,key,value,breadcrumb,data_sheet
84,https://www.mrosupply.com/clutches-and-brakes/2130293_1082052j2nlf_stearns/,200,Stearns 1082052J2NLF Brake Assembly-INT 8005292,MODEL 1082052J2NLF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
85,https://www.mrosupply.com/clutches-and-brakes/2130301_1082052u2jqf_stearns/,200,Stearns 1082052U2JQF SVR-Brake Assembly-INT 8040008,MODEL 1082052U2JQF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
86,https://www.mrosupply.com/clutches-and-brakes/2130534_108241200005_stearns/,200,STEARNS 108241200005 BRK-DEADMAN REL 8026895,MODEL 108241200005,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
87,https://www.mrosupply.com/clutches-and-brakes/2130582_108262200005_stearns/,200,STEARNS 108262200005 BRK ASSY INT/LA STSCRW-IT 8064188,MODEL 108262200005,[],[],"['Clutches and Brakes', 'Magnetic Clutches & Brakes', 'Magnetic Brakes']",
88,https://www.mrosupply.com/clutches-and-brakes/2130579_108262200jqf_stearns/,200,Stearns 108262200JQF Brake Assembly-STD-IT 271495,MODEL 108262200JQF,[],[],"['Clutches and Brakes', 'Magnetic Clutches & Brakes', 'Magnetic Brakes']",
89,https://www.mrosupply.com/clutches-and-brakes/2130752_108603202024_stearns/,200,STEARNS 108603202024 DNR-RL TAC MACH W/O HUB 211238,MODEL 108603202024,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
90,https://www.mrosupply.com/clutches-and-brakes/2130736_108603202nlf_stearns/,200,Stearns 108603202NLF Brake Assembly-STD 8008133,MODEL 108603202NLF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Replacement Parts']",
91,https://www.mrosupply.com/clutches-and-brakes/2130769_108603602002_stearns/,200,STEARNS 108603602002 BRK-RL TACH MACH W/ HUB 8006615,MODEL 108603602002,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
92,https://www.mrosupply.com/clutches-and-brakes/2142309_501141202_stearns/,200,STEARNS 501141202 M.B.& COIL ASSY 61-74V 14 8031989,MODEL 501141202,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
93,https://www.mrosupply.com/clutches-and-brakes/2128508_108102102100_stearns/,200,STEARNS 108102102100 VAT/BINT M/RR115V60/50 129132,MODEL 108102102100,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
94,https://www.mrosupply.com/clutches-and-brakes/2128852_108103102066_stearns/,200,STEARNS 108103102066 BRK-C FACESIDE RELR-113 8028486,MODEL 108103102066,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
95,https://www.mrosupply.com/clutches-and-brakes/2128774_1081031h2tlf_stearns/,200,Stearns 1081031H2TLF Brake Assembly-INT 130580,MODEL 1081031H2TLF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
96,https://www.mrosupply.com/clutches-and-brakes/2128944_108103202065_stearns/,200,STEARNS 108103202065 CRANE-VADBL C FACE56LD 8096881,MODEL 108103202065,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
97,https://www.mrosupply.com/clutches-and-brakes/2129090_108201102048_stearns/,200,STEARNS 108201102048 BR-C/RING BRZCL HINT RL 8021992,MODEL 108201102048,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
98,https://www.mrosupply.com/clutches-and-brakes/2129389_1082022j2rlf_stearns/,200,Stearns 1082022J2RLF Brake Assembly-INT 8098978,MODEL 1082022J2RLF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
99,https://www.mrosupply.com/clutches-and-brakes/2129917_108204102092_stearns/,200,STEARNS 108204102092 BRK-VACL HE.P.-OPEN TRN 8003041,MODEL 108204102092,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Hardware & Kits']",
100,https://www.mrosupply.com/clutches-and-brakes/2129863_108204102pqf_stearns/,200,Stearns 108204102PQF Brake Assembly-STD 124753,MODEL 108204102PQF,[],[],"['Clutches and Brakes', 'Magnetic Clutches & Brakes', 'Magnetic Brakes']",
101,https://www.mrosupply.com/clutches-and-brakes/2129989_1082042i2jqf_stearns/,200,Stearns 1082042I2JQF SVR-Brake Assembly-INT 8046254,MODEL 1082042I2JQF,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
102,https://www.mrosupply.com/clutches-and-brakes/2130007_1082042l2jqg_stearns/,200,Stearns 1082042L2JQG SVR-Brake Assembly-INT 217937,MODEL 1082042L2JQG,[],[],"['Clutches and Brakes', 'Clutches and Brakes Accessories', 'Clutch & Brake Components']",
